Aminocyclopropane carboxylate	Amino-oxoheptanedioate	Dehydroalanine	Aminoadipate semialdehyde	Deoxyribose phosphate	Diaminoheptanedioate	Dihydroxy-methylpentanoate	Aminoisobutanoate	Methylthioadenosine	Pyrroline hydroxycarboxylate	Acetyl-diaminoheptanedioate	Acetylhomoserine	Acetylmuramate	Acetylornithine	Adenine	Dexyguanosine	AICAR	Aminopropiononitrile	Anthranilate	Arginine	Aspartate	Alanine	Carbamoyl-aspartate	Aconitate	Citrate	Citrulline	Cysteine	Deoxyribose	Erythro-methylmalate	Erythro-hydroxyglutamate	Formylmethionine	Fumarate	Galactono-lactone	Glutamate	Glutamine	Glycerate	Guanosine	Hexose phosphate	Histidine	Methylcitrate	Hypoxanthine	Isopropylmalate	Isopropylmaleate	Oxoglutarate	Leucine	Lysine	Malate	Methylmaleate	d-Ala-d-Ala	Noradrenaline	Ornithine	Phenylalanine	Proline	Pyrrole carboxylate	S-adenosylmethionine	Succinate	Succinate semialdehyde	Succinyl-diaminoheptanedioate	Threonine	Tryptophan	Tyrosine	Valine	Aspartate semialdehyde	Dehydro-deoxyrhamnonate	Glyceraldehyde phosphate	Ribose phosphate	Sedoheptulose phosphate
PA14A_1	13.049811646227733	10.8516071691825431	 9.5491079551628619	10.2328822266427419	7.9822375061796347	9.3375530461592540	7.9624312183504227	10.1692813714672301	10.1935363321021466	13.385581601642652	 9.4612076812620014	12.1275832004719035	6.7563051310998850	8.5005554613210332	10.3054176185088746	8.1268230972388054	9.3239622689250954	 9.6110514693501514	 9.1629122438901760	 9.8791339843345991	12.046058131839136	12.490221774482533	 8.9486273981326629	8.4042017960801534	11.495168723924253	11.3121210447407723	9.1040538327354756	 8.7954295668623725	 9.0012073306616802	10.1681057080866069	 8.9460841244670863	7.4324990129448105	11.106802676824211	13.390677257985523	8.6447890864759387	10.6778661252344236	6.9069641149604211	12.093900545170509	9.5551287763957760	8.4162413047280147	8.2326876292573967	10.0924114877696098	7.9497001998775456	10.0012898651709570	12.564908231330030	 9.5605465778746002	9.2130919238517119	7.1400353383890485	10.5109798125190288	7.3617877268472540	 9.8740626828423057	11.671487541313647	10.6884140823719367	9.5357955468419764	8.6187109353337696	8.3775267269679201	8.6867045274569019	 9.8426587426110679	11.375122973010143	 9.3924454567790097	10.6151059958098219	12.236763867951982	7.9473778556790409	 9.8962780600680151	12.091255923824672	11.1378347228105063	11.997384508976380
PA14A_2	13.309208937709553	11.0586574487709406	 9.7178429889343523	10.6462885928659343	7.9333086759816318	9.4004467817273341	8.2308763457729270	10.3354563702723361	10.4534639339949180	13.638354433028510	 9.4022293207142056	12.4683032542478394	6.7563051310998850	8.7467350004562174	 9.8232567483081521	8.5320356783408435	8.9727169485861200	 9.6573175686807282	 9.5602333056549664	 9.8435094126179195	12.229525927615231	12.415264860855533	 9.1310469233206639	8.8113274191181574	11.720217610943539	11.2851834162385600	9.6779733336071914	 9.1761059382937304	 9.1354315933950971	10.2158677307881511	 8.9460841244670863	7.3483066151665906	11.300296534591885	13.617337793024177	8.6447890864759387	10.9342946207661633	6.9069641149604211	12.440808259313506	8.9553358232280456	8.6743156263533248	8.2326876292573967	10.4115019258036590	8.2763871380197500	10.2276716837320727	12.393780096130673	 9.5719008111833048	8.9924396420063388	7.5319153204543694	10.7879103956191216	7.3617877268472540	 9.8562469288144605	11.883937584353498	10.9226792700666948	9.4562294331111367	8.8213991002300318	8.4040084487821929	8.9606602400085418	10.1038325791147106	11.286994983148809	 9.3875111782662177	10.6638746494738328	12.381237844523541	8.0695564257018972	 9.8348319790597376	12.405579533187076	11.4761165999950663	12.335835905618225
PA14A_3	13.080107184308430	10.8229408500234499	 9.6400138342682684	10.5609071160462822	7.4842486605119145	9.3085799175530859	7.9931051320747830	10.2520483144372587	10.2788772380384437	13.389117576052065	 9.1351455728447633	12.1394345442940139	6.7563051310998850	8.3071824584735445	 9.6936963105731397	8.3625333963338520	9.2348033329847183	10.3024670978570310	 9.6060847572381487	 9.6856343638302267	12.009183474416982	12.247397838140113	 8.9952907904407606	8.6327477679142977	11.483340274685171	11.0574112740876060	9.2830621316071920	 8.8085084823664364	 9.0437629705440212	10.0694551406119555	 8.9460841244670863	7.5340694230261249	11.115314791793661	13.389420886732156	8.6447890864759387	10.9886420846901931	6.9069641149604211	12.126572035478709	9.2841529936005962	8.4643704527645038	8.2326876292573967	10.2373831119074996	7.8985615232641209	10.0324587444170827	12.560494538749367	 9.4943009866106500	8.8136641404026950	7.3966800512847195	10.5849273385719869	7.3617877268472540	 9.6918246867172773	11.614750743622695	10.6244750504088810	9.6252940133101479	8.6156586735957426	8.2980657561503524	8.7076056054776707	 9.5874380576648299	11.176023111486328	 9.1951548932531697	10.4811865706706122	12.248858462101916	8.0868888994947437	 9.8570741099454864	12.108815183481477	11.1669069491670889	12.017286369364212
PA14B_4	13.387568640103522	11.0537776990555141	 9.7989910018170647	10.9079842643189604	7.8351195975859884	9.4908684589049486	8.3754828334080731	10.0619340043761447	10.3633207501871656	13.710793765645155	 9.2008840507456551	11.7223963071872781	6.7563051310998850	8.6017855175119529	 9.5948100682039268	7.7579763588768529	9.1673412929427531	 9.5966233905303255	 9.7481138783332604	 9.8548757445406387	12.242078402778159	12.548275333252279	 9.1255947966845543	8.7888635658092937	11.704863081107792	11.4911222082199647	9.4675499662556302	 9.6070412279786765	 9.0440375300816296	10.6114099653361134	 8.9460841244670863	7.2517092610780924	11.343506304277922	13.683622835860893	8.6447890864759387	10.9899570569081995	6.9069641149604211	12.517131735374164	9.0223423391542728	8.9111318873431458	8.2326876292573967	10.2735070050008375	8.3296363465578409	10.1848564807985298	12.494106295292372	 9.5523350797854309	9.0532735025891604	7.3874245999185328	10.7335819758881943	7.3617877268472540	 9.9954508656250507	11.922339961720988	11.0085762232033755	9.7327914830454443	8.4505964682116161	8.4251904259868500	8.8234900088445105	10.0985986289957275	11.319881247712660	 9.2814328411992015	10.7470756458005994	12.281201474000186	8.0026033290972514	 9.7313467176231025	12.414431539928108	11.5483481539402764	12.367277349957890
PA14B_5	13.289702083860504	11.1109064290720347	 9.7965931045778909	10.9340762638943296	7.6776333374988512	9.2695183168808608	8.3319705115613321	10.0857069616817903	10.2779613163618411	13.607568052339101	 9.2606038676375491	11.5968649002615081	6.7563051310998850	8.8783547761532127	 9.7373704424388823	8.3081397592898849	9.1543348567717153	 9.6941108111639913	 9.3573605488871401	 9.9141880094960886	12.162658367216400	12.295727877276704	 9.2099023180659323	8.8201508798893045	11.585228252958043	11.2192935039783617	9.3436481245960525	 9.4915490839424077	 9.1183894871810978	10.3012620497713581	 8.9460841244670863	7.4573427477641339	11.346148473739399	13.585811325033374	8.6447890864759387	10.6801763456783778	6.9069641149604211	12.477605191228484	8.8508069129871458	8.8191485166802579	8.2326876292573967	10.3098521513687782	8.1679676375924100	10.1875471325265696	12.392493518083022	 9.4430790013122241	8.8682999222945380	6.7461699017803110	10.6607388820883386	7.3617877268472540	 9.4163843375156393	11.780013800358033	10.8625545578162797	9.6060712892599369	8.6509884733796003	8.4081892199538029	8.8819867534643056	 9.9174685998086396	11.225338113954553	 9.1029615335915111	10.6252386727951667	12.117826585758301	8.0022249564362014	 9.7516916314230020	12.346318213582196	11.4974863361023729	12.326115688533191
PA14B_6	13.297769575993799	10.9164088764881555	 9.6662195056166151	10.7358911300983522	7.8415320099412575	9.3631611899348979	8.4060871580228884	 9.9637910577748983	10.2496338704792702	13.598519534436024	 9.4327252663106851	11.6106737297531399	6.7563051310998850	8.6177564518326744	 9.6633847291378796	8.4530740844036032	9.1055295330180819	 9.7883705100440235	 9.4421708861590279	 9.6935698443705185	12.110158966323903	12.290992209414844	 9.2049682582581003	8.8554367377361061	11.580093141148664	11.2117042543003027	9.2572943519966202	 9.6049264728070760	 9.1957688165278242	10.3573628855712130	 8.9460841244670863	7.4196499997658556	11.373467313127492	13.642404216541449	8.6447890864759387	10.6386607694996602	6.9069641149604211	12.429793766364922	8.8889343940657284	8.8349229897221004	8.2326876292573967	10.4094094549794427	8.2753528350243393	10.2192236683827762	12.416858814603980	 9.0597268600858794	8.7484202599122369	6.9195790704517037	10.6452650585175430	7.3617877268472540	 9.6919939094605319	11.733896052101086	10.8158121107114482	9.6459782984531550	8.7536644741518526	8.4170666561810457	8.9810045559323459	 9.8581059924110015	11.175575027978093	 9.2653873035797059	10.5514167794079547	12.103361925017957	7.4380319560147354	 9.6814744796622936	12.383024867751580	11.5405623282598828	12.278675359041618
F22031_7	13.354333021483066	10.4507713912357865	 9.8724230580402175	 9.8827248020467380	8.5201327453947648	9.6562955082674318	7.2598684586337869	10.6876843717798113	10.2347044274791408	13.660910756784167	 9.2840265732105394	11.9318029876603493	9.0999482804786069	8.4285264365362558	 9.7319270457025713	8.5371744880650322	9.2332770058067482	 9.6875638834099238	 8.2903977227990087	 9.7358235697458664	12.551763031156190	12.566505154560589	 8.1104932028851167	7.8749980012936867	10.993245675719566	10.2910610918146705	9.2859401006184132	 8.0069316363559420	 8.6269969433031157	10.0346271903863720	 8.6281188283494892	7.7381965512410957	11.156540628750214	13.671583363686242	8.3986691131840576	11.5787915655639413	7.8251182305559128	11.245080494007887	9.6088675252376490	8.8881122418283542	7.1617938008240509	 9.3373953493929296	7.8879027727679594	 9.6463243384406745	12.540266394315788	 9.7711466073086086	8.8922808788873908	7.1896927905525176	10.8425316969000072	8.0412962228850411	10.0421906794224771	12.363357194029632	10.2394994391378304	9.4924330303786508	8.8026409723159862	7.8695141478357957	8.2345381024772930	 9.4563223253876103	11.687446715936417	 9.1733092023081753	10.7704907167013459	12.434709111512380	8.0286782604856395	 9.9479268297595400	11.509846940673160	10.2989180982102351	11.084639812491902
F22031_8	13.370151649226479	10.3520627522514577	 9.8627630241858455	 9.1267636181723386	8.4389418175801261	9.6790098266072722	7.0648154408702091	10.8023126883615674	10.2694504313600401	13.671053223997019	 8.2976285351371395	11.7065567219292728	9.0999482804786069	8.1070450594624219	 9.7954907123836037	8.2361233089615151	8.9520433828321604	 9.9778210744287446	 7.9205015794734130	 9.9473186019655451	12.655299329665299	12.686900517515561	 8.1841817850021652	7.9038457213990307	11.113666979951995	10.4598076770756094	9.6346536377932654	 7.8620076035781370	 8.5806824637862178	 9.9643519746618150	 8.6281188283494892	7.8032336602644738	11.157691122484286	13.595146275871269	8.3986691131840576	11.7045494277013624	7.8251182305559128	11.570469980667477	9.6251527145524083	8.8630014503432690	7.1617938008240509	 9.2352501256185953	7.8339576454704485	 9.5485945911977286	12.791995569794100	 9.9685307819226399	8.7793660989246884	7.0167663884618321	10.8203136170291394	8.0412962228850411	 9.9884122928094730	12.506809623170165	10.3238937433011966	9.5212622047143167	8.8247555545103626	8.1562702087264363	8.2321570352330884	 9.5522250484478644	11.602343315239589	 9.2481940517630221	10.9382360471288642	12.662985870726724	7.9630043077978527	10.0733495310425845	11.507363088465304	10.5044251570981544	11.446461812206239
F22031_9	13.222834536168763	10.1641257175530022	 9.7821794101144004	10.2930591854342435	7.5211540112651987	9.3876222500990121	5.9996834577043217	10.7445447460763539	 9.9535181533038752	13.513413498370365	 8.3768447278177476	11.4947299186866658	9.0999482804786069	8.2931722578150637	 9.6747514597787170	7.8663936083308075	8.8917052503444935	 9.9325669546626951	 8.1612516719681381	 9.7848717155806089	12.517978729061891	12.395920900399444	 8.2061621543929313	7.8792264772011293	10.978696240676969	10.3485878568264820	9.3037589290575600	 7.7827553504981228	 8.6345000676088315	 9.8567201429366360	 8.6281188283494892	7.6174723531822437	11.082289261545410	13.499613187934838	8.3986691131840576	11.7743287156647405	7.8251182305559128	11.391747775754451	9.1293952948615527	8.7640687903448207	7.1617938008240509	 9.4064794232490243	7.7532602374272601	 9.5735991735538821	12.305960554171708	 9.6613575076102034	8.7455176049633110	6.9465833439992908	10.6820334820669860	8.0412962228850411	 9.8025068064051553	12.178942174555308	10.0481454337787213	9.3008674219528391	8.5944365750610991	8.1648044277276846	8.3017565142627507	 9.4327714041229438	11.463712577198923	 8.5152481122871215	10.4578100872243915	12.249258029745022	7.7380231630415377	 9.9534239079009463	11.341176916440929	10.2525145352957789	11.224192482797585
F30658_10	13.377481813166666	11.2098607975835218	 9.6341525553865157	 9.3848090189770677	8.0153553648153917	9.7986480191015577	8.4088169342968726	10.3003808969259900	10.7327116448063489	13.681666395485475	 9.4336536362673815	11.1637286912003759	6.1964470312799227	9.3879881661602855	 9.9392371702112623	8.3599546467355434	8.9968607497552053	 9.6630467055891724	 8.9495587164124952	 9.8999245029040388	12.257804852449453	12.409610597772446	 9.0080881815127363	8.7821142563847374	11.834477062285959	11.1087549591603683	9.7625868509043503	 7.9240372796958480	10.4461368455752268	10.2890296424831700	 7.2203196341796145	7.5777253087032337	11.023923088938373	13.666240001722272	8.9943232571148979	 9.3782968850715811	7.4948090102977423	12.009473426783256	9.2750639193214468	8.0423233523613291	8.2027927507784266	10.7680962270804201	8.4738478362436673	10.1836108619067645	12.720477842517068	 9.6038388555681511	9.3309072759642007	7.9262104902007371	10.3768088316524683	8.9569650639881147	10.5672705519224603	11.959983499521242	10.4682419866570520	9.4480109232723581	8.8169856834986842	8.6595187343608213	8.8133640717642976	10.7855083007277379	11.304882716117278	 9.0499457476870191	10.1459593759112821	12.094140803158220	8.2572713440771466	 9.8883678922372553	12.271802783684057	11.1636702444024660	11.734111207585949
