"","Rv0075_15","Rv0075_90","Rv0113_15","Rv0113_90","Rv0114_15","Rv0114_90","Rv0305c_15","Rv0305c_90","Rv0306_15","Rv0306_90","Rv0307c_15","Rv0307c_90","Rv0308_15","Rv0308_90","Rv0484c_15","Rv0484c_90","Rv0593_15","Rv0593_90","Rv2106_15","Rv2106_90","Rv2349c_15","Rv2349c_90","Rv2352c_15","Rv2352c_90","Rv2353c_15","Rv2353c_90","Rv2810c_15","Rv2810c_90","Rv2813_15","Rv2813_90","Rv2859c_15","Rv2859c_90","Rv2948c_15","Rv2948c_90","Rv3183_15","Rv3183_90","Rv3281_15","Rv3281_90","Rv3323c_15","Rv3323c_90","Rv3324c_15","Rv3324c_90","Rv3324A_15","Rv3324A_90","Rv3763_15","Rv3763_90","Rv3798_15","Rv3798_90"
"L1",0.225152782245095,0.0964940495336121,0.0643293663557414,0,0.0964940495336121,0,0.0964940495336121,0,0,0,0,0,0,0,0,0,0,0,99.9678353168221,99.4853650691541,18.9771630749437,0.836281762624638,11.8044387262785,9.39208748793824,8.58797040849148,8.2341588935349,0.739787713091026,0.675458346735285,0.643293663557414,0.611128980379543,0.128658732711483,0.0321646831778707,0.128658732711483,0.0643293663557414,1.47957542618205,1.06143454486973,2.86265680283049,0.0643293663557414,0.90061112898038,0.128658732711483,0.964940495336121,0.257317465422966,1.41524605982631,0.418140881312319,4.40656159536829,0.128658732711483,65.2299774847218,14.4419427468639
"L2",1.34698275862069,0.0754310344827586,0.161637931034483,0.0754310344827586,0.0969827586206897,0.0646551724137931,0.786637931034483,0.441810344827586,0.021551724137931,0.021551724137931,0.021551724137931,0.021551724137931,0.021551724137931,0.021551724137931,0,0,0,0,96.9612068965517,29.073275862069,1.13146551724138,0.3125,18.6206896551724,3.45905172413793,9.70905172413793,7.96336206896552,0.452586206896552,0.431034482758621,0.237068965517241,0.129310344827586,0.0969827586206897,0.0323275862068966,0.377155172413793,0.140086206896552,0.549568965517241,0.40948275862069,8.83620689655172,0.0538793103448276,0.387931034482759,0.0538793103448276,0.387931034482759,0.226293103448276,0.700431034482759,0.269396551724138,1.2823275862069,0.172413793103448,93.2004310344828,14.1056034482759
"L3",0.218435998252512,0.0436871996505024,0.305810397553517,0.0873743993010048,0.17474879860201,0.131061598951507,0.131061598951507,0,0.0873743993010048,0,0.0436871996505024,0,0,0,0.0436871996505024,0,0.0873743993010048,0,99.6941896024465,99.0825688073395,21.3193534294452,0.830056793359546,13.4119702927042,11.2712975098296,12.4071647007427,12.0139799038882,0.742682394058541,0.698995194408038,0.961118392311053,0.786369593709043,0.17474879860201,0.0873743993010048,0.0873743993010048,0.0436871996505024,0.611620795107034,0.131061598951507,1.70380078636959,0.0873743993010048,7.3394495412844,0.218435998252512,8.51900393184797,7.2520751419834,8.56269113149847,8.03844473569244,2.97072957623416,0.131061598951507,96.6360856269113,17.737003058104
"L4",0.122565708838349,0.0476644423260248,0.177039357210949,0.0408552362794498,0.102138090698625,0.0340460302328748,0.347269508375323,0.0544736483725997,0.0544736483725997,0.0476644423260248,0.0612828544191747,0.0204276181397249,0.0204276181397249,0,0.0408552362794498,0,0.0408552362794498,0.0272368241862999,99.6459212855781,96.506877298107,4.10595124608471,3.73825411956966,5.63802260656407,0.796677107449271,7.46969903309274,6.69344954378319,0.619637750238322,0.578782513958872,0.844341549775296,0.619637750238322,0.265559035816424,0.0408552362794498,0.394933950701348,0.0885196786054746,0.687729810704072,0.238322211630124,3.84039221026828,0.0953288846520496,3.99019474329293,0.0817104725588996,5.0047664442326,4.61664169957783,5.7401606972627,4.91624676562713,1.23246629443007,0.211085387443824,93.7491488492442,14.7895955331608
"L5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5037406483791,94.7630922693267,9.97506234413965,4.73815461346633,14.4638403990025,9.22693266832918,2.24438902743142,2.24438902743142,0.249376558603491,0.249376558603491,0.249376558603491,0.249376558603491,0,0,0,0,0.748129675810474,0,1.74563591022444,0,0,0,0.249376558603491,0,0.249376558603491,0.249376558603491,0,0,35.4114713216958,7.73067331670823
"L6",0,0,0.254452926208651,0.254452926208651,0.254452926208651,0.254452926208651,0,0,0,0,0,0,0,0,0,0,0,0,100,99.236641221374,0,0,2.79898218829517,0.254452926208651,0,0,0,0,0.254452926208651,0,0,0,0,0,0,0,4.32569974554707,0,0,0,5.34351145038168,5.34351145038168,5.34351145038168,5.34351145038168,0,0,25.6997455470738,11.4503816793893
"L7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,6.66666666666667,3.33333333333333,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,16.6666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,100,83.3333333333333
"L8",100,0,100,0,100,0,100,0,100,100,100,100,100,100,100,0,100,100,50,0,100,100,100,100,100,100,50,50,50,50,100,0,100,0,50,0,100,0,100,0,100,100,100,100,100,0,0,0
"L9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
"A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,92.8571428571429,78.5714285714286,64.2857142857143,71.4285714285714,64.2857142857143,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,0,0,0,0,21.4285714285714,0,0,0,0,0,7.14285714285714,7.14285714285714,50,50,0,0,21.4285714285714,0
