,id,name,subsystem,reaction,GPR
0,ABTA,4-aminobutyrate transaminase,"Alanine, Aspartate, and Glutamate Metabolism",4abut[c] + akg[c] --> glu__L[c] + sucsal[c],Rv2589
1,AGMT,Agmatinase,"Alanine, Aspartate, and Glutamate Metabolism",agm[c] + h2o[c] --> ptrc[c] + urea[c],
2,ALAD_L,L-alanine dehydrogenase,"Alanine, Aspartate, and Glutamate Metabolism",ala__L[c] + h2o[c] + nad[c] --> h[c] + nadh[c] + nh4[c] + pyr[c],Rv2780
3,ARGDC,Arginine decarboxylase,"Alanine, Aspartate, and Glutamate Metabolism",arg__L[c] + h[c] --> agm[c] + co2[c],Rv2531c
4,ARGSL,Argininosuccinate lyase,"Alanine, Aspartate, and Glutamate Metabolism",argsuc[c] --> arg__L[c] + fum[c],Rv1659
5,ARGSS,Argininosuccinate synthase,"Alanine, Aspartate, and Glutamate Metabolism",asp__L[c] + atp[c] + citr__L[c] --> amp[c] + argsuc[c] + h[c] + ppi[c],Rv1658
6,ASNN,L-asparaginase,"Alanine, Aspartate, and Glutamate Metabolism",asn__L[c] + h2o[c] --> asp__L[c] + nh4[c],Rv1538c
7,ASNS1,Asparagine synthase (glutamine-hydrolysing),"Alanine, Aspartate, and Glutamate Metabolism",asp__L[c] + atp[c] + gln__L[c] + h2o[c] --> amp[c] + asn__L[c] + glu__L[c] + h[c] + ppi[c],Rv2201
8,ASP1DC,Aspartate 1-decarboxylase,"Alanine, Aspartate, and Glutamate Metabolism",asp__L[c] + h[c] --> ala_B[c] + co2[c],Rv3601c
9,ASPO5,L-aspartate oxidase,"Alanine, Aspartate, and Glutamate Metabolism",asp__L[c] + fum[c] --> h[c] + iasp[c] + succ[c],Rv1595
10,ASPTA,Aspartate transaminase,"Alanine, Aspartate, and Glutamate Metabolism",akg[c] + asp__L[c] <=> glu__L[c] + oaa[c],Rv0337c
11,GF6PTA,Glutamine-fructose-6-phosphate transaminase,"Alanine, Aspartate, and Glutamate Metabolism",f6p[c] + gln__L[c] <=> gam6p[c] + glu__L[c],Rv3436c
