"","case","tiempo","rep","Infeccion_fecha"
"16","L5_thp1",2,"R1",2020-12-01
"20","L5_thp1",2,"R2",2020-12-01
"24","L5_thp1",2,"R3",2020-12-01
"40","L5_bomac",2,"R1",2020-12-01
"44","L5_bomac",2,"R2",2020-12-01
"48","L5_bomac",2,"R3",2020-12-01
"52","L5_bomac",6,"R1",2020-12-01
"56","L5_bomac",6,"R2",2020-12-01
"60","L5_bomac",6,"R3",2020-12-01
"88","L5_thp1",6,"R1",2020-12-01
"92","L5_thp1",6,"R2",2020-12-01
"96","L5_thp1",6,"R3",2020-12-01
"112","L5_thp1",2,"R4",2020-12-15
"116","L5_thp1",2,"R5",2020-12-15
"120","L5_thp1",2,"R6",2020-12-15
"136","L5_bomac",2,"R4",2020-12-15
"140","L5_bomac",2,"R5",2020-12-15
"144","L5_bomac",2,"R6",2020-12-15
"148","L5_bomac",6,"R4",2020-12-15
"152","L5_bomac",6,"R5",2020-12-15
"156","L5_bomac",6,"R6",2020-12-15
"184","L5_thp1",6,"R4",2020-12-15
"188","L5_thp1",6,"R5",2020-12-15
"192","L5_thp1",6,"R6",2020-12-15
"196","chimp_bomac",2,"R1",2021-02-16
"200","chimp_bomac",2,"R2",2021-02-16
"204","chimp_bomac",2,"R3",2021-02-16
"208","L6_bomac",2,"R1",2021-02-16
"212","L6_bomac",2,"R2",2021-02-16
"216","L6_bomac",2,"R3",2021-02-16
"220","chimp_bomac",6,"R1",2021-02-16
"224","chimp_bomac",6,"R2",2021-02-16
"228","chimp_bomac",6,"R3",2021-02-16
"232","L6_bomac",6,"R1",2021-02-16
"236","L6_bomac",6,"R2",2021-02-16
"240","L6_bomac",6,"R3",2021-02-16
"244","chimp_bomac",2,"R4",2021-02-23
"248","chimp_bomac",2,"R5",2021-02-23
"252","chimp_bomac",2,"R6",2021-02-23
"256","L6_bomac",2,"R4",2021-02-23
"260","L6_bomac",2,"R5",2021-02-23
"264","L6_bomac",2,"R6",2021-02-23
"268","chimp_bomac",6,"R4",2021-02-23
"272","chimp_bomac",6,"R5",2021-02-23
"276","chimp_bomac",6,"R6",2021-02-23
"280","L6_bomac",6,"R4",2021-02-23
"284","L6_bomac",6,"R5",2021-02-23
"288","L6_bomac",6,"R6",2021-02-23
"292","chimp_bomac",2,"R7",2021-03-02
"296","chimp_bomac",2,"R8",2021-03-02
"300","chimp_bomac",2,"R9",2021-03-02
"304","L6_bomac",2,"R7",2021-03-02
"308","L6_bomac",2,"R8",2021-03-02
"312","L6_bomac",2,"R9",2021-03-02
"316","chimp_bomac",6,"R7",2021-03-02
"320","chimp_bomac",6,"R8",2021-03-02
"324","chimp_bomac",6,"R9",2021-03-02
"328","L6_bomac",6,"R7",2021-03-02
"332","L6_bomac",6,"R8",2021-03-02
"336","L6_bomac",6,"R9",2021-03-02
"340","bovis_bomac",2,"R7",2021-04-13
"344","bovis_bomac",2,"R8",2021-04-13
"348","bovis_bomac",2,"R9",2021-04-13
"352","bovis_bomac",2,"R10",2021-04-13
"356","bovis_bomac",2,"R11",2021-04-13
"360","bovis_bomac",2,"R12",2021-04-13
"364","L5_bomac",2,"R7",2021-04-13
"368","L5_bomac",2,"R8",2021-04-13
