strain,host,time,moi,rep,inf_perc
BCG,THP1,1,10,R1,7.50
BCG,THP1,1,10,R2,8.00
BCG,THP1,1,10,R3,9.50
BCG,THP1,1,20,R1,11.00
BCG,THP1,1,20,R2,9.50
BCG,THP1,1,20,R3,10.00
BCG,THP1,4,10,R1,12.00
BCG,THP1,4,10,R2,11.00
BCG,THP1,4,10,R3,13.00
BCG,THP1,4,20,R1,14.00
BCG,THP1,4,20,R2,12.00
BCG,THP1,4,20,R3,13.50
BCG,BoMac,1,10,R1,9.50
BCG,BoMac,1,10,R2,9.00
BCG,BoMac,1,10,R3,7.50
BCG,BoMac,1,20,R1,10.00
BCG,BoMac,1,20,R2,10.50
BCG,BoMac,1,20,R3,9.00
BCG,BoMac,4,10,R1,8.50
BCG,BoMac,4,10,R2,9.00
BCG,BoMac,4,10,R3,9.50
BCG,BoMac,4,20,R1,12.00
BCG,BoMac,4,20,R2,14.00
BCG,BoMac,4,20,R3,12.50
L5,THP1,1,10,R1,26.00
L5,THP1,1,10,R2,26.00
L5,THP1,1,10,R3,28.50
L5,THP1,1,20,R1,37.50
L5,THP1,1,20,R2,39.00
L5,THP1,1,20,R3,36.00
L5,THP1,4,10,R1,34.00
L5,THP1,4,10,R2,31.50
L5,THP1,4,10,R3,32.00
L5,THP1,4,20,R1,42.00
L5,THP1,4,20,R2,44.50
L5,THP1,4,20,R3,43.50
L5,BoMac,1,10,R1,7.00
L5,BoMac,1,10,R2,7.50
L5,BoMac,1,10,R3,8.00
L5,BoMac,1,20,R1,12.00
L5,BoMac,1,20,R2,10.50
L5,BoMac,1,20,R3,11.50
L5,BoMac,4,10,R1,13.00
L5,BoMac,4,10,R2,14.50
L5,BoMac,4,10,R3,13.50
L5,BoMac,4,20,R1,14.50
L5,BoMac,4,20,R2,15.50
L5,BoMac,4,20,R3,16.50
L6,THP1,1,10,R1,18.00
L6,THP1,1,10,R2,19.00
L6,THP1,1,10,R3,20.00
L6,THP1,1,20,R1,24.50
L6,THP1,1,20,R2,22.00
L6,THP1,1,20,R3,22.50
L6,THP1,4,10,R1,27.50
L6,THP1,4,10,R2,25.50
L6,THP1,4,10,R3,26.50
L6,THP1,4,20,R1,39.00
L6,THP1,4,20,R2,35.50
L6,THP1,4,20,R3,37.00
L6,BoMac,1,10,R1,7.50
L6,BoMac,1,10,R2,9.00
L6,BoMac,1,10,R3,8.50
L6,BoMac,1,20,R1,12.00
L6,BoMac,1,20,R2,13.00
L6,BoMac,1,20,R3,11.50
L6,BoMac,4,10,R1,12.00
L6,BoMac,4,10,R2,13.50
L6,BoMac,4,10,R3,12.50
L6,BoMac,4,20,R1,14.00
L6,BoMac,4,20,R2,12.00
L6,BoMac,4,20,R3,13.00
chimp,THP1,1,10,R1,18.00
chimp,THP1,1,10,R2,20.00
chimp,THP1,1,10,R3,18.00
chimp,THP1,1,20,R1,19.00
chimp,THP1,1,20,R2,20.00
chimp,THP1,1,20,R3,18.00
chimp,THP1,4,10,R1,17.00
chimp,THP1,4,10,R2,19.00
chimp,THP1,4,10,R3,16.00
chimp,THP1,4,20,R1,29.50
chimp,THP1,4,20,R2,31.50
chimp,THP1,4,20,R3,32.00
chimp,BoMac,1,10,R1,10.50
chimp,BoMac,1,10,R2,12.00
chimp,BoMac,1,10,R3,10.00
chimp,BoMac,1,20,R1,12.00
chimp,BoMac,1,20,R2,13.00
chimp,BoMac,1,20,R3,14.00
chimp,BoMac,4,10,R1,19.50
chimp,BoMac,4,10,R2,18.50
chimp,BoMac,4,10,R3,17.50
chimp,BoMac,4,20,R1,24.00
chimp,BoMac,4,20,R2,21.00
chimp,BoMac,4,20,R3,22.00
bovis,THP1,1,10,R1,10.50
bovis,THP1,1,10,R2,10.00
bovis,THP1,1,10,R3,9.00
bovis,THP1,1,20,R1,16.50
bovis,THP1,1,20,R2,14.00
bovis,THP1,1,20,R3,15.50
bovis,THP1,4,10,R1,15.50
bovis,THP1,4,10,R2,14.50
bovis,THP1,4,10,R3,16.00
bovis,THP1,4,20,R1,25.50
bovis,THP1,4,20,R2,24.00
bovis,THP1,4,20,R3,26.00
bovis,BoMac,1,10,R1,14.50
bovis,BoMac,1,10,R2,16.00
bovis,BoMac,1,10,R3,15.00
bovis,BoMac,1,20,R1,28.50
bovis,BoMac,1,20,R2,26.00
bovis,BoMac,1,20,R3,27.50
bovis,BoMac,4,10,R1,23.00
bovis,BoMac,4,10,R2,23.00
bovis,BoMac,4,10,R3,21.00
bovis,BoMac,4,20,R1,42.00
bovis,BoMac,4,20,R2,43.00
bovis,BoMac,4,20,R3,40.00
