"","Rv0221_15","Rv0221_90","Rv0222_15","Rv0222_90","Rv0223c_15","Rv0223c_90","Rv1183_15","Rv1183_90","Rv1215c_15","Rv1215c_90","Rv1216c_15","Rv1216c_90","Rv1263_15","Rv1263_90","Rv1264_15","Rv1264_90","Rv1592c_15","Rv1592c_90","Rv1705c_15","Rv1705c_90","Rv1799_15","Rv1799_90","Rv1800_15","Rv1800_90","Rv1801_15","Rv1801_90","Rv1802_15","Rv1802_90","Rv1804c_15","Rv1804c_90","Rv1805c_15","Rv1805c_90","Rv1806_15","Rv1806_90","Rv1807_15","Rv1807_90","Rv1808_15","Rv1808_90","Rv1809_15","Rv1809_90","Rv1810_15","Rv1810_90","Rv1811_15","Rv1811_90","Rv1812c_15","Rv1812c_90","Rv1813c_15","Rv1813c_90","Rv1917c_15","Rv1917c_90","Rv1964_15","Rv1964_90","Rv1965_15","Rv1965_90","Rv1966_15","Rv1966_90","Rv1967_15","Rv1967_90","Rv1968_15","Rv1968_90","Rv1969_15","Rv1969_90","Rv1970_15","Rv1970_90","Rv1971_15","Rv1971_90","Rv1972_15","Rv1972_90","Rv1973_15","Rv1973_90","Rv1974_15","Rv1974_90","Rv1975_15","Rv1975_90","Rv1976c_15","Rv1976c_90","Rv1977_15","Rv1977_90","Rv2073c_15","Rv2073c_90","Rv2074_15","Rv2074_90","Rv2075c_15","Rv2075c_90","Rv2140c_15","Rv2140c_90","Rv2261c_15","Rv2261c_90","Rv2262c_15","Rv2262c_90","Rv2348c_15","Rv2348c_90","Rv2349c_15","Rv2349c_90","Rv2350c_15","Rv2350c_90","Rv2351c_15","Rv2351c_90","Rv2352c_15","Rv2352c_90","Rv2353c_15","Rv2353c_90","Rv2625c_15","Rv2625c_90","Rv2626c_15","Rv2626c_90","Rv2629_15","Rv2629_90","Rv2648_15","Rv2648_90","Rv2807_15","Rv2807_90","Rv2808_15","Rv2808_90","Rv2809_15","Rv2809_90","Rv2810c_15","Rv2810c_90","Rv2811_15","Rv2811_90","Rv2812_15","Rv2812_90","Rv2813_15","Rv2813_90","Rv2816c_15","Rv2816c_90","Rv2817c_15","Rv2817c_90","Rv2818c_15","Rv2818c_90","Rv2819c_15","Rv2819c_90","Rv3082c_15","Rv3082c_90","Rv3183_15","Rv3183_90","Rv3324A_15","Rv3324A_90","Rv3325_15","Rv3325_90","Rv3343c_15","Rv3343c_90","Rv3425_15","Rv3425_90","Rv3617_15","Rv3617_90","Rv3618_15","Rv3618_90","Rv3619c_15","Rv3619c_90","Rv3620c_15","Rv3620c_90","Rv3621c_15","Rv3621c_90","Rv3622c_15","Rv3622c_90","Rv3623_15","Rv3623_90","Rv3737_15","Rv3737_90","Rv3738c_15","Rv3738c_90","Rv3798_15","Rv3798_90","Rv3874_15","Rv3874_90","Rv3875_15","Rv3875_90","Rv3876_15","Rv3876_90","Rv3877_15","Rv3877_90"
"L1",0.128658732711483,0,0.160823415889353,0.0321646831778707,0.0321646831778707,0.0321646831778707,0.0321646831778707,0.0321646831778707,0.160823415889353,0.0321646831778707,0.192988099067224,0.128658732711483,0.0643293663557414,0.0321646831778707,0.0643293663557414,0.0321646831778707,0.0321646831778707,0.0321646831778707,0.192988099067224,0.0321646831778707,0.48247024766806,0.45030556449019,0.418140881312319,0.385976198134448,0.546799614023802,0.192988099067224,0.514634930845931,0.192988099067224,0.128658732711483,0.0643293663557414,0.0964940495336121,0.0321646831778707,0.0643293663557414,0.0321646831778707,0.128658732711483,0.0321646831778707,0.0964940495336121,0.0321646831778707,0.0643293663557414,0.0643293663557414,0.0643293663557414,0.0321646831778707,0.0643293663557414,0.0321646831778707,0.0964940495336121,0.0643293663557414,0.0643293663557414,0.0643293663557414,0.868446445802509,0.353811514956578,0.0964940495336121,0.0321646831778707,0.0964940495336121,0.0643293663557414,4.24573817947893,0.0643293663557414,4.2779028626568,4.21357349630106,4.56738501125764,4.24573817947893,4.2779028626568,4.18140881312319,4.31006754583467,4.21357349630106,4.40656159536829,4.08491476358958,4.92119652621422,4.79253779350273,5.01769057574783,4.8247024766806,4.85686715985848,4.76037311032486,4.76037311032486,4.72820842714699,4.31006754583467,4.24573817947893,0.0964940495336121,0.0964940495336121,0.192988099067224,0.0321646831778707,0.0643293663557414,0.0643293663557414,0.0964940495336121,0.0321646831778707,0.0321646831778707,0.0321646831778707,0.192988099067224,0.0321646831778707,0.192988099067224,0.0321646831778707,0.321646831778707,0.192988099067224,18.9771630749437,0.836281762624638,20.2315857188807,17.4332582824059,18.8163396590544,17.5619170151174,11.8044387262785,9.39208748793824,8.58797040849148,8.2341588935349,0.160823415889353,0.0321646831778707,0.0321646831778707,0.0321646831778707,0.0964940495336121,0.0321646831778707,100,99.8713412672885,0.192988099067224,0.0321646831778707,0.675458346735285,0.257317465422966,0.643293663557414,0.578964297201673,0.739787713091026,0.675458346735285,1.15792859440335,0.707623029913155,0.739787713091026,0.611128980379543,0.643293663557414,0.611128980379543,0.836281762624638,0.48247024766806,0.868446445802509,0.385976198134448,0.418140881312319,0.225152782245095,0.385976198134448,0.225152782245095,0.192988099067224,0.0643293663557414,1.47957542618205,1.06143454486973,1.41524605982631,0.418140881312319,99.4210357027983,97.8449662270827,12.4155677066581,0.0643293663557414,99.742682534577,4.53522032807977,33.6442586040528,7.59086522997749,9.45641685429399,0.578964297201673,17.1116114506272,2.21936313927308,13.2840141524606,0.964940495336121,2.6375040205854,0.48247024766806,1.44741074300418,0.353811514956578,1.76905757478289,0.128658732711483,3.53811514956578,0.160823415889353,2.66966870376327,0.160823415889353,65.2299774847218,14.4419427468639,2.4123512383403,0.289482148600836,1.35091669347057,0.225152782245095,24.2200064329366,0.192988099067224,2.60533933740753,0.192988099067224
"L2",0.107758620689655,0,0.021551724137931,0,0,0,0.0107758620689655,0,0.021551724137931,0,0.517241379310345,0.484913793103448,0.021551724137931,0,0.021551724137931,0,0.0107758620689655,0,0.161637931034483,0,0.021551724137931,0,0.021551724137931,0.021551724137931,0.280172413793103,0.0646551724137931,0.183189655172414,0.0646551724137931,0.0862068965517241,0.0431034482758621,0.0646551724137931,0.0107758620689655,0.0107758620689655,0.0107758620689655,0.0969827586206897,0.0107758620689655,0.0107758620689655,0.0107758620689655,0.0107758620689655,0.0107758620689655,0.0107758620689655,0.0107758620689655,0.0107758620689655,0.0107758620689655,0.021551724137931,0.0107758620689655,0.0431034482758621,0.021551724137931,2.56465517241379,0.0107758620689655,0.118534482758621,0.0862068965517241,0.129310344827586,0.0969827586206897,0.129310344827586,0.107758620689655,0.140086206896552,0.118534482758621,0.226293103448276,0.129310344827586,0.355603448275862,0.161637931034483,0.226293103448276,0.161637931034483,0.183189655172414,0.150862068965517,0.161637931034483,0.150862068965517,0.193965517241379,0.140086206896552,0.183189655172414,0.150862068965517,0.204741379310345,0.172413793103448,0.193965517241379,0.193965517241379,0.0969827586206897,0.0969827586206897,0.140086206896552,0.0107758620689655,0.0107758620689655,0.0107758620689655,0.0107758620689655,0.0107758620689655,0.021551724137931,0.0107758620689655,0.0754310344827586,0.0107758620689655,0.226293103448276,0.0107758620689655,0.0323275862068966,0.0107758620689655,1.13146551724138,0.3125,3.48060344827586,1.60560344827586,4.05172413793103,3.80387931034483,18.6206896551724,3.45905172413793,9.70905172413793,7.96336206896552,0.377155172413793,0.366379310344828,0.366379310344828,0.366379310344828,0.0646551724137931,0.0431034482758621,99.989224137931,99.2995689655172,0.0646551724137931,0.0431034482758621,0.193965517241379,0.0431034482758621,0.441810344827586,0.0538793103448276,0.452586206896552,0.431034482758621,0.668103448275862,0.140086206896552,0.280172413793103,0.140086206896552,0.237068965517241,0.129310344827586,98.739224137931,98.1788793103448,98.7931034482759,98.0064655172414,98.7284482758621,97.7586206896552,98.6314655172414,97.9418103448276,0.161637931034483,0.0754310344827586,0.549568965517241,0.40948275862069,0.700431034482759,0.269396551724138,98.9547413793103,97.8987068965517,6.76724137931034,0.0431034482758621,0.689655172413793,0.0538793103448276,0.797413793103448,0.21551724137931,0.765086206896552,0.140086206896552,16.9719827586207,0.732758620689655,13.5129310344828,0.463362068965517,0.948275862068966,0.0862068965517241,1.63793103448276,0.107758620689655,1.69181034482759,0.0646551724137931,1.5948275862069,0.226293103448276,2.55387931034483,1.37931034482759,93.2004310344828,14.1056034482759,1.40086206896552,0.193965517241379,0.894396551724138,0.118534482758621,29.5905172413793,0.140086206896552,0.765086206896552,0.0969827586206897
"L3",0.0873743993010048,0,0,0,0.0436871996505024,0,0.0436871996505024,0.0436871996505024,0.0436871996505024,0,0.17474879860201,0,0.17474879860201,0,0.17474879860201,0.0873743993010048,0.0436871996505024,0,0.218435998252512,0,0.0873743993010048,0,0.0436871996505024,0,0.218435998252512,0.0436871996505024,2.22804718217562,0.0873743993010048,0.17474879860201,0.0436871996505024,0.218435998252512,0,0.0436871996505024,0,0.0436871996505024,0,0.0436871996505024,0,0.0436871996505024,0,0.0873743993010048,0,0.0436871996505024,0,0.0436871996505024,0,0.0436871996505024,0,19.3971166448231,0.0436871996505024,0.0436871996505024,0,0.0436871996505024,0,0.0436871996505024,0,0,0,0.0436871996505024,0,0.131061598951507,0,0.786369593709043,0.0873743993010048,0.131061598951507,0.0873743993010048,0.131061598951507,0.0873743993010048,0.17474879860201,0.0873743993010048,0.131061598951507,0.0873743993010048,0.131061598951507,0.0873743993010048,0.17474879860201,0.131061598951507,1.31061598951507,1.17955439056356,0.17474879860201,0,0.0436871996505024,0,0.131061598951507,0,0.0436871996505024,0,0.131061598951507,0.0873743993010048,0.131061598951507,0.0873743993010048,0.0436871996505024,0,21.3193534294452,0.830056793359546,12.2761031017912,11.7955439056356,12.4508519003932,11.8829183049367,13.4119702927042,11.2712975098296,12.4071647007427,12.0139799038882,0.131061598951507,0.0873743993010048,0.131061598951507,0.0873743993010048,0.0873743993010048,0.0436871996505024,100,99.9563128003495,0.131061598951507,0.0436871996505024,0.830056793359546,0.262123197903014,0.786369593709043,0.567933595456531,0.742682394058541,0.698995194408038,1.66011358671909,0.655307994757536,0.873743993010048,0.698995194408038,0.961118392311053,0.786369593709043,1.22324159021407,0.961118392311053,1.13586719091306,0.742682394058541,0.786369593709043,0.567933595456531,0.611620795107034,0.17474879860201,0.218435998252512,0.0873743993010048,0.611620795107034,0.131061598951507,8.56269113149847,8.03844473569244,98.8204456094364,89.5150720838794,6.29095674967235,0.0873743993010048,2.44648318042813,1.09217999126256,1.8785495849716,0.131061598951507,2.14067278287462,0.305810397553517,26.867627785059,1.70380078636959,16.6448230668414,0.786369593709043,6.20358235037134,0.262123197903014,5.19877675840979,0.131061598951507,1.52905198776758,0.17474879860201,3.23285277413718,0.305810397553517,94.1459152468327,92.1363040629096,96.6360856269113,17.737003058104,2.44648318042813,0.393184796854522,1.31061598951507,0.262123197903014,15.9021406727829,0.305810397553517,2.44648318042813,0.218435998252512
"L4",0.0136184120931499,0,0.292795860002724,0,0,0,0.0408552362794498,0.0136184120931499,0.0749012665123247,0.0204276181397249,0.0749012665123247,0.0204276181397249,0.108947296745199,0.0136184120931499,0.0680920604657497,0.0204276181397249,0.0408552362794498,0.0204276181397249,0.258749829769849,0.0204276181397249,0.129374914884924,0.102138090698625,0.170230151164374,0.0817104725588996,0.204276181397249,0.0476644423260248,0.347269508375323,0.0476644423260248,0.129374914884924,0.0953288846520496,0.0885196786054746,0.0204276181397249,0.0204276181397249,0.0204276181397249,0.177039357210949,0.0204276181397249,0.0544736483725997,0.0204276181397249,0.0340460302328748,0.0204276181397249,0.0476644423260248,0.0204276181397249,0.0476644423260248,0.0408552362794498,0.102138090698625,0.0476644423260248,0.0749012665123247,0.0612828544191747,1.42312406373417,0.0612828544191747,0.108947296745199,0.0817104725588996,0.170230151164374,0.0749012665123247,0.122565708838349,0.0749012665123247,0.0885196786054746,0.0817104725588996,0.306414272095874,0.0817104725588996,0.170230151164374,0.0885196786054746,0.122565708838349,0.108947296745199,0.115756502791774,0.115756502791774,0.136184120931499,0.115756502791774,0.476644423260248,0.0544736483725997,0.0612828544191747,0.0612828544191747,0.0817104725588996,0.0408552362794498,0.0680920604657497,0.0408552362794498,0.0544736483725997,0.0340460302328748,0.537927277679423,0.0272368241862999,0.0612828544191747,0.0340460302328748,0.0680920604657497,0.0340460302328748,0.0680920604657497,0.0272368241862999,0.156611739071224,0.0340460302328748,0.224703799536974,0.0340460302328748,0.0885196786054746,0.0476644423260248,4.10595124608471,3.73825411956966,7.80335012937492,4.01062236143266,7.94634345635299,7.70121203867629,5.63802260656407,0.796677107449271,7.46969903309274,6.69344954378319,0.0544736483725997,0.0544736483725997,0.0680920604657497,0.0544736483725997,0.115756502791774,0.0544736483725997,99.3258886013891,97.8891461255618,0.122565708838349,0.0476644423260248,0.960098052567071,0.694539016750647,0.939670434427346,0.878387580008171,0.619637750238322,0.578782513958872,1.53888056652594,0.578782513958872,1.10309137954515,0.592400926052022,0.844341549775296,0.619637750238322,3.37055699305461,2.92795860002724,3.52716873212583,2.64878115211766,2.90072177584094,1.97466975350674,2.28108402560261,0.0817104725588996,0.170230151164374,0.0612828544191747,0.687729810704072,0.238322211630124,5.7401606972627,4.91624676562713,96.1459893776386,89.1529347678061,49.5437831948795,0.0680920604657497,51.6546370693177,31.4449135230832,0.864769167915021,0.149802533024649,0.701348222797222,0.163420945117799,21.210676835081,0.776249489309547,15.620318670843,0.408552362794498,1.0622361432657,0.170230151164374,0.490262835353398,0.129374914884924,0.646874574424622,0.0953288846520496,1.51164374233964,0.265559035816424,1.57973580280539,0.204276181397249,93.7491488492442,14.7895955331608,1.28013073675609,0.251940623723274,0.817104725588996,0.211085387443824,25.5413318807027,0.177039357210949,0.851150755821871,0.0953288846520496
"L5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249376558603491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498753117206983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,99.501246882793,100,99.2518703241895,100,99.002493765586,100,0,0,0,0.249376558603491,0,0.249376558603491,0.249376558603491,3.24189526184539,3.24189526184539,9.97506234413965,4.73815461346633,10.2244389027431,9.22693266832918,9.22693266832918,9.22693266832918,14.4638403990025,9.22693266832918,2.24438902743142,2.24438902743142,0,0,0,0,0,0,100,100,0,0,0.249376558603491,0.249376558603491,0.249376558603491,0.249376558603491,0.249376558603491,0.249376558603491,0.748129675810474,0.249376558603491,0.249376558603491,0.249376558603491,0.249376558603491,0.249376558603491,0.997506234413965,0.997506234413965,0.997506234413965,0.748129675810474,0.997506234413965,0.249376558603491,0.249376558603491,0,0,0,0.748129675810474,0,0.249376558603491,0.249376558603491,97.7556109725686,95.0124688279302,11.7206982543641,0,1.99501246882793,0.748129675810474,0,0,0,0,12.4688279301746,0.498753117206983,7.98004987531172,0,0,0,0,0,0,0,0,0,0,0,35.4114713216958,7.73067331670823,0,0,0,0,21.4463840399002,0,0.498753117206983,0
"L6",100,0,100,98.7277353689567,99.236641221374,0,0,0,0.763358778625954,0,0.508905852417303,0,1.01781170483461,0.763358778625954,0.763358778625954,0,0,0,0,0,0,0,0,0,0.254452926208651,0,0.254452926208651,0,0,0,0,0,0,0,0.254452926208651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,98.4732824427481,100,98.2188295165394,100,98.9821882951654,100,99.236641221374,100,97.9643765903308,100,98.4732824427481,100,98.2188295165394,100,97.9643765903308,100,98.4732824427481,100,98.4732824427481,100,99.236641221374,100,99.4910941475827,100,97.9643765903308,100,98.9821882951654,100,98.7277353689567,100,0,0,0,0,0,0,0,0,0,0,0,2.03562340966921,0,2.03562340966921,2.03562340966921,2.79898218829517,0.254452926208651,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0.508905852417303,0,0.508905852417303,0,0.254452926208651,0,0,0,0,0,0,0,0,0,0.254452926208651,0.254452926208651,0,0,5.34351145038168,5.34351145038168,98.2188295165394,95.6743002544529,13.9949109414758,0,1.01781170483461,0.254452926208651,100,98.2188295165394,100,98.4732824427481,100,97.7099236641221,99.7455470737914,96.6921119592875,100,98.9821882951654,100,99.236641221374,99.4910941475827,0,0.254452926208651,0,0,0,25.6997455470738,11.4503816793893,0,0,0,0,21.3740458015267,0,0,0
"L7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,100,100,6.66666666666667,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,6.66666666666667,3.33333333333333,6.66666666666667,3.33333333333333,6.66666666666667,3.33333333333333,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,100,100,90,3.33333333333333,6.66666666666667,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,83.3333333333333,3.33333333333333,83.3333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,100,83.3333333333333,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,6.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333
"L8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,100,100,0,0,0,0,50,0,50,50,50,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,50,0,100,100,100,100,100,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L9",100,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,60,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,40,0,0,0,0,0,20,0,0,0
"A1",100,0,100,100,100,0,42.8571428571429,0,21.4285714285714,0,14.2857142857143,0,21.4285714285714,0,21.4285714285714,0,14.2857142857143,0,21.4285714285714,0,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,0,57.1428571428571,0,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,7.14285714285714,0,42.8571428571429,0,42.8571428571429,0,7.14285714285714,7.14285714285714,100,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,92.8571428571429,78.5714285714286,64.2857142857143,71.4285714285714,64.2857142857143,7.14285714285714,0,7.14285714285714,7.14285714285714,7.14285714285714,0,57.1428571428571,57.1428571428571,42.8571428571429,0,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,42.8571428571429,0,92.8571428571429,92.8571428571429,21.4285714285714,0,50,50,64.2857142857143,57.1428571428571,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,0,100,100,21.4285714285714,0,100,100,100,100,100,92.8571428571429,92.8571428571429,92.8571428571429
