"","A1_locus","A1_gene","A1_product","A2_locus","A2_gene","A2_product","A3_locus","A3_gene","A3_product","A4_locus","A4_gene","A4_product","L1_locus","L1_gene","L1_product","L2_locus","L2_gene","L2_product","L3_locus","L3_gene","L3_product","L5_locus","L5_gene","L5_product","L6_locus","L6_gene","L6_product","L7_locus","L7_gene","L7_product","L8_locus","L8_gene","L8_product","L9_locus","L9_gene","L9_product"
"1","Rv0021c",NA,"hypothetical protein","Rv0021c",NA,"hypothetical protein","Rv0021c",NA,"hypothetical protein","Rv0021c",NA,"hypothetical protein","Rv0270","fadD2","fatty-acid--CoA ligase FadD2","Rv0107c","ctpI","cation-transporter ATPase I","Rv0066c","icd2","isocitrate dehydrogenase","Rv0069c","sdaA","L-serine dehydratase","Rv0021c",NA,"hypothetical protein","Rv0066c","icd2","isocitrate dehydrogenase","Rv0107c","ctpI","cation-transporter ATPase I","Rv0021c",NA,"hypothetical protein"
"2","Rv0070c","glyA2","serine hydroxymethyltransferase","Rv0070c","glyA2","serine hydroxymethyltransferase","Rv0070c","glyA2","serine hydroxymethyltransferase","Rv0070c","glyA2","serine hydroxymethyltransferase","Rv0392c","ndhA","NADH dehydrogenase NdhA","Rv0115","hddA","D-alpha-D-heptose-7-phosphate kinase HddA","Rv0129c","fbpC","diacylglycerol acyltransferase/mycolyltransferase Ag85C","Rv0087","hycE","formate hydrogenase HycE","Rv0070c","glyA2","serine hydroxymethyltransferase","Rv0072",NA,"glutamine ABC transporter permease","Rv0189c","ilvD","dihydroxy-acid dehydratase","Rv0070c","glyA2","serine hydroxymethyltransferase"
"3","Rv0091","mtn","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","Rv0206c","mmpL3","transmembrane transport protein MmpL3","Rv0073",NA,"glutamine ABC transporter ATP-binding protein","Rv0206c","mmpL3","transmembrane transport protein MmpL3","Rv0994","moeA1","molybdopterin molybdenumtransferase 1","Rv0768","aldA","aldehyde dehydrogenase AldA","Rv0223c",NA,"aldehyde dehydrogenase","Rv0112","gca","GDP-mannose 4,6-dehydratase","Rv0103c","ctpB","cation-transporter P-type ATPase B","Rv0107c","ctpI","cation-transporter ATPase I","Rv0211","pckA","phosphoenolpyruvate carboxykinase","Rv0103c","ctpB","cation-transporter P-type ATPase B"
"4","Rv0127","mak","maltokinase","Rv0505c","serB1","phosphoserine phosphatase SerB","Rv0119","fadD7","fatty-acid--CoA ligase FadD7","Rv0223c",NA,"aldehyde dehydrogenase","Rv1099c","glpX","fructose 1,6-bisphosphatase","Rv0773c","ggtA","bifunctional cephalosporin acylase/gamma-glutamyltranspeptidase","Rv0231","fadE4","acyl-CoA dehydrogenase FadE4","Rv0254c","cobU","bifunctional cobinamide kinase/cobinamide phosphate guanylyltransferase","Rv0166","fadD5","fatty-acid--CoA ligase FadD5","Rv0112","gca","GDP-mannose 4,6-dehydratase","Rv0244c","fadE5","acyl-CoA dehydrogenase FadE5","Rv0137c","msrA","peptide methionine sulfoxide reductase MsrA"
"5","Rv0206c","mmpL3","transmembrane transport protein MmpL3","Rv0644c","mmaA2","cyclopropane mycolic acid synthase CmaA","Rv0166","fadD5","fatty-acid--CoA ligase FadD5","Rv0321","dcd","deoxycytidine triphosphate deaminase","Rv1530","adh","alcohol dehydrogenase","Rv0808","purF","amidophosphoribosyltransferase","Rv0294","tam","trans-aconitate methyltransferase","Rv0382c","pyrE","orotate phosphoribosyltransferase","Rv0206c","mmpL3","transmembrane transport protein MmpL3","Rv0114","gmhB","D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase","Rv0267","narU","nitrite extrusion protein NarU","Rv0143c",NA,"transmembrane protein"
"6","Rv0512","hemB","delta-aminolevulinic acid dehydratase","Rv1161","narG","nitrate reductase subunit alpha","Rv0189c","ilvD","dihydroxy-acid dehydratase","Rv0392c","ndhA","NADH dehydrogenase NdhA","Rv1550","fadD11","fatty-acid--CoA ligase FadD11","Rv1400c","lipI","lipase","Rv0777","purB","adenylosuccinate lyase PurB","Rv0400c","fadE7","acyl-CoA dehydrogenase FadE7","Rv0375c",NA,"carbon monoxyde dehydrogenase medium subunit","Rv0147",NA,"aldehyde dehydrogenase","Rv0545c","pitA","low-affinity inorganic phosphate transporter","Rv0206c","mmpL3","transmembrane transport protein MmpL3"
"7","Rv0644c","mmaA2","cyclopropane mycolic acid synthase CmaA","Rv1309","atpG","ATP synthase subunit gamma","Rv0206c","mmpL3","transmembrane transport protein MmpL3","Rv0512","hemB","delta-aminolevulinic acid dehydratase","Rv1663","pks17","polyketide synthase","Rv1472","echA12","enoyl-CoA hydratase EchA12","Rv0803","purL","phosphoribosylformylglycinamidine synthase 2","Rv0499",NA,"hypothetical protein","Rv0436c","pssA","CDP-diacylglycerol--serine O-phosphatidyltransferase","Rv0155","pntAa","NAD(P) transhydrogenase subunit alpha PntAa","Rv0768","aldA","aldehyde dehydrogenase AldA","Rv0231","fadE4","acyl-CoA dehydrogenase FadE4"
"8","Rv0803","purL","phosphoribosylformylglycinamidine synthase 2","Rv1451",NA,"protoheme IX farnesyltransferase","Rv0255c","cobQ1","cobyric acid synthase","Rv0644c","mmaA2","cyclopropane mycolic acid synthase CmaA","Rv1672c",NA,"integral membrane transport protein","Rv1736c","narX","nitrate reductase-like protein NarX","Rv0848","cysK2","cysteine synthase CysK","Rv0522","gabP","GABA permease GabP","Rv0438c","moeA2","molybdopterin molybdenumtransferase","Rv0234c","gabD1","succinate-semialdehyde dehydrogenase","Rv0774c",NA,"hypothetical protein","Rv0392c","ndhA","NADH dehydrogenase NdhA"
"9","Rv0896","gltA2","citrate synthase 1","Rv1521","fadD25","fatty-acid--CoA ligase FadD25","Rv0270","fadD2","fatty-acid--CoA ligase FadD2","Rv0648",NA,"alpha-mannosidase","Rv1750c","fadD1","fatty-acid--CoA ligase FadD1","Rv1739c",NA,"sulfate ABC transporter permease","Rv1029","kdpA","potassium-transporting ATPase subunit A","Rv0573c","pncB2","nicotinic acid phosphoribosyltransferase PncB2","Rv0644c","mmaA2","cyclopropane mycolic acid synthase CmaA","Rv0534c","menA","1,4-dihydroxy-2-naphthoate octaprenyltransferase","Rv0905","echA6","enoyl-CoA hydratase EchA6","Rv0644c","mmaA2","cyclopropane mycolic acid synthase CmaA"
"10","Rv1023","eno","enolase","Rv1563c","treY","maltooligosyl trehalose synthase","Rv0321","dcd","deoxycytidine triphosphate deaminase","Rv0972c","fadE12","acyl-CoA dehydrogenase fadE12","Rv2051c","ppm1","polyprenol-monophosphomannose synthase","Rv1925","fadD31","fatty-acid--CoA ligase FadD31","Rv1286",NA,"adenylyl-sulfate kinase","Rv0672","fadE8","acyl-CoA dehydrogenase FadE8","Rv0904c","accD3","acetyl-CoAcarboxylase carboxyl transferase subunit beta","Rv0672","fadE8","acyl-CoA dehydrogenase FadE8","Rv0932c","pstS2","phosphate ABC transporter substrate-binding lipoprotein PstS","Rv0672","fadE8","acyl-CoA dehydrogenase FadE8"
